Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
EVEN3	12,84	-756,32	1,67	1,549	0,00%	0,585	1,04	28,40	3,07	31,90	5,45%	1,05%	3,42	2,54%	-0,22%	24.726.600,00	1.668.040.000,00	0,83	-6,20%
SQIA3	17,71	-338,41	2,90	7,493	0,05%	2,021	3,57	107,81	5,94	40,15	6,95%	-2,21%	8,38	4,72%	-0,86%	10.926.700,00	430.818.000,00	0,14	24,08%
MAPT4	47,00	-268,28	-7,78	0,000	0,00%	55,877	0,00	-329,72	0,00	-329,72	0,00%	0,00%	0,00	0,00%	2,90%	678,55	-5.552.000,00	0,00	0,00%
CCPR3	20,74	-174,24	3,18	7,295	0,00%	0,916	28,01	13,92	-2,33	16,62	52,42%	9,43%	1,40	7,26%	-1,83%	5.535.830,00	1.040.750.000,00	1,64	6,08%
MILS3	7,18	-106,80	1,63	6,428	0,00%	1,310	18,65	-23,57	-11.666,50	24,40	-27,27%	-6,02%	1,56	-6,17%	-1,52%	5.615.270,00	1.111.300.000,00	0,14	-18,38%
PFRM3	4,04	-96,88	0,51	0,107	0,00%	0,159	1,09	3,34	-3,47	4,20	3,20%	-0,11%	1,29	7,61%	-0,52%	984.156,00	984.289.000,00	0,72	6,70%
LPSB3	8,08	-63,83	28,56	8,487	0,00%	4,675	-219,16	-344,18	-7,52	68,97	-2,47%	-15,99%	0,91	-1,51%	-44,75%	3.977.060,00	41.738.000,00	0,29	-14,54%
TELB3	111,00	-49,79	161,74	121,094	0,00%	1,579	42,34	-127,27	-1,77	230,99	-95,15%	-243,21%	1,62	-1,30%	-324,83%	322.389,00	34.044.000,00	8,08	3,21%
RDNI3	12,94	-49,67	0,93	2,193	0,00%	0,429	1,70	-39,46	-3,52	-89,79	-5,56%	-5,23%	2,59	-1,23%	-1,86%	311.031,00	611.714.000,00	0,64	-21,15%
ECOR3	14,41	-39,12	21,43	2,162	0,00%	0,636	-6,26	6,99	-0,90	8,95	30,92%	-5,51%	0,72	11,98%	-54,78%	40.136.600,00	375.633.000,00	25,79	6,09%
MSPA3	51,50	-38,14	0,37	2,529	0,78%	0,227	3,73	-16,06	-0,80	-50,39	-15,75%	-6,63%	2,85	-1,49%	-0,96%	241,69	899.497.000,00	0,05	-21,17%
MSPA4	51,50	-38,14	0,37	2,529	0,85%	0,227	3,73	-16,06	-0,80	-50,39	-15,75%	-6,63%	2,85	-1,49%	-0,96%	475,81	899.497.000,00	0,05	-21,17%
BAHI3	110,00	-36,24	4,58	5,144	0,00%	1,319	5,77	-26,34	-4,48	-22,67	-19,53%	-15,83%	2,34	-8,01%	-12,64%	56.428,40	53.301.000,00	0,18	34,48%
DTCY3	4,60	-20,56	-40,62	2,798	0,00%	1,179	-3,91	28,12	-1,39	13,62	9,95%	-13,61%	0,37	4,87%	197,62%	543,21	-882.000,00	-5,62	2,58%
TESA3	14,12	-19,86	0,32	0,286	0,00%	0,122	-14,27	9,26	-0,36	14,69	3,09%	-1,44%	0,97	1,42%	-1,60%	289.158,00	962.097.000,00	0,96	5,84%
HBOR3	3,54	-19,29	3,19	1,919	0,00%	0,548	1,38	-65,79	-12,02	-132,83	-2,92%	-3,52%	2,28	-0,92%	-16,53%	16.546.500,00	743.035.000,00	2,37	-13,47%
RCSL4	1,19	-18,92	-1,37	4,835	0,00%	2,170	-6,18	618,01	-0,98	196,95	0,78%	-25,58%	0,53	0,37%	7,22%	318.226,00	-66.069.000,00	-0,00	359,60%
MNDL3	35,50	-17,60	-0,62	0,183	0,00%	0,086	-0,13	2,91	-0,10	6,19	6,28%	-1,04%	0,27	3,12%	3,52%	17.785,30	-142.268.000,00	-1,30	3,95%
TELB4	36,72	-16,47	53,50	40,059	0,00%	0,522	14,01	-42,10	-0,59	81,86	-95,15%	-243,21%	1,62	-1,30%	-324,83%	1.270.260,00	34.044.000,00	8,08	3,21%
BEEF3	12,34	-14,60	-6,08	0,277	0,00%	0,388	1,89	3,63	-0,84	6,97	7,62%	-1,89%	1,52	17,41%	41,65%	39.015.700,00	-767.223.000,00	-12,72	18,98%
BTTL3	5,19	-14,19	15,96	0,175	0,00%	0,651	15,34	8,28	-1,23	8,21	2,11%	-1,23%	1,11	10,35%	-112,46%	6.685,81	4.832.000,00	4,53	-5,93%
VVAR3	7,45	-11,28	6,57	0,380	0,00%	0,444	-2,44	8,44	-1,01	7,59	4,50%	-3,36%	0,73	7,72%	-58,21%	186.165.000,00	1.474.000.000,00	3,80	8,70%
MGEL4	7,49	-8,61	-0,11	0,081	0,00%	0,115	0,31	1,01	-0,08	10,52	8,06%	-2,04%	2,68	14,40%	1,32%	12.453,20	-381.306.000,00	-1,76	4,49%
BIOM3	9,80	-8,49	7,21	98,288	0,00%	1,658	13,99	-11,67	-3,34	-15,15	-842,01%	-1.157,92%	1,77	-19,41%	-84,95%	263.173,00	65.021.000,00	2,39	918,31%
TECN3	2,08	-6,98	0,39	0,509	0,00%	0,208	0,66	-8,75	4,65	-6,89	-5,82%	-7,29%	2,64	-3,07%	-5,60%	202.311,00	417.917.000,00	0,30	-6,76%
NORD3	4,43	-6,57	-0,21	23,866	0,00%	1,782	-0,56	-33,07	-0,19	-75,00	-72,17%	-363,14%	0,01	-5,52%	3,18%	39.943,40	-140.228.000,00	-0,27	71,88%
BOBR4	1,74	-6,46	-1,67	0,418	0,00%	0,787	-2,20	6,67	-0,74	7,93	6,27%	-6,47%	0,54	14,83%	25,85%	52.182,50	-279.734.000,00	-1,08	-0,15%
RANI4	3,47	-5,96	1,93	0,605	0,66%	0,358	7,16	5,54	-0,67	7,29	10,94%	-10,15%	1,22	7,18%	-32,42%	8.372,64	299.193.000,00	2,85	6,64%
DMMO3	9,05	-5,44	-5,15	5,029	0,00%	1,705	-12,02	115,90	-1,46	26,96	4,34%	-92,48%	0,54	1,73%	94,67%	2.052.840,00	-474.698.000,00	0,00	-2,41%
TCNO3	1,02	-5,40	4,51	6,672	0,00%	0,029	0,00	-0,99	0,00	-6,78	-676,98%	-123,62%	0,00	0,00%	-83,57%	40.004,10	1.497.000,00	0,00	-68,21%
RANI3	3,13	-5,38	1,74	0,546	0,73%	0,323	6,45	4,99	-0,61	6,99	10,94%	-10,15%	1,22	7,18%	-32,42%	74.392,60	299.193.000,00	2,85	6,64%
TCNO4	0,99	-5,24	4,38	6,476	0,00%	0,028	0,00	-0,96	0,00	-6,75	-676,98%	-123,62%	0,00	0,00%	-83,57%	109.857,00	1.497.000,00	0,00	-68,21%
AHEB3	31,00	-5,12	14,34	2,162	0,00%	0,944	-10,16	-5,07	-1,12	-6,63	-42,61%	-42,24%	0,49	-20,34%	-280,11%	4.036,62	16.266.000,00	0,00	-15,81%
CRDE3	23,48	-4,50	0,36	1,863	0,00%	0,314	1,34	-4,61	1,93	-2,42	-40,38%	-56,74%	5,61	-8,23%	-7,97%	11.223,40	158.573.000,00	0,00	-5,25%
SHOW3	5,11	-4,44	1,23	0,649	1,16%	0,548	1,82	-19,18	44,55	-59,20	-3,39%	-14,77%	2,13	-5,25%	-27,78%	658.930,00	279.348.000,00	0,58	0,57%
TCSA3	1,28	-3,59	0,94	2,948	0,00%	0,498	2,79	-18,38	-11,95	-22,54	-16,04%	-83,60%	1,72	-3,33%	-26,24%	13.758.900,00	1.000.390.000,00	0,39	-32,81%
BSEV3	2,54	-2,57	12,31	0,425	0,00%	0,238	5,88	9,83	-0,39	4,23	4,32%	-16,55%	1,12	2,69%	-479,64%	29.112,90	210.580.000,00	28,84	1,66%
PINE4	3,19	-2,28	0,49	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-21,65%	943.270,00	782.844.000,00	0,00	119,52%
RPMG3	5,00	-2,26	-0,13	0,310	0,00%	0,162	-0,15	-2,03	-0,12	-2,12	-15,26%	-13,71%	0,47	-8,21%	5,72%	438.381,00	-2.618.490.000,00	0,00	15,87%
GFSA3	6,57	-2,20	1,01	1,652	0,00%	0,307	1,43	500,89	845,03	60,00	0,33%	-74,91%	1,45	0,08%	-45,86%	11.882.900,00	780.159.000,00	0,96	-32,76%
MTIG4	70,00	-1,91	1,05	0,134	0,63%	0,160	-0,70	-68,83	-0,43	20,04	-0,19%	-7,00%	0,67	-0,28%	-55,27%	1.183,33	15.993.400,00	3,26	1,79%
NUTR3	45,00	-1,90	-0,23	0,099	0,00%	0,076	0,53	9,03	-0,09	16,01	1,10%	-5,20%	1,48	1,00%	12,00%	369,05	-25.238.000,00	-0,53	15,14%
LUPA3	1,46	-1,86	0,38	0,282	0,00%	0,065	0,27	-2,15	-0,15	-74,19	-13,11%	-19,63%	2,51	-3,22%	-20,55%	182.902,00	84.636.000,00	1,90	-17,01%
ADHM3	1,52	-1,85	-0,58	348,356	0,00%	47,503	-0,65	-2,57	-0,57	-2,63	-13.548,50%	-18.860,60%	0,00	521,70%	31,47%	72.733,90	-19.776.000,00	0,00	43,48%
BBRK3	3,95	-1,83	0,77	1,042	0,00%	0,331	2,56	-18,72	-1,16	49,82	-5,56%	-42,47%	1,93	-2,21%	-41,74%	472.106,00	187.133.000,00	0,60	-9,31%
HBTS5	12,50	-1,78	0,50	-28,708	0,65%	0,096	-1,03	-1,28	-0,14	-2,58	2.246,54%	1.610,89%	0,55	-7,61%	-28,04%	5.187,55	228.113.000,00	0,51	-40,99%
CALI4	50,08	-1,76	2,04	3,067	5,58%	0,571	4,15	-0,90	-1,37	-0,90	-339,18%	-174,30%	1,83	-64,78%	-116,14%	119,24	9.116.000,00	0,00	-44,11%
APER3	23,51	-1,31	1,86	2,046	0,00%	1,102	312,84	-1,27	-5,01	-1,24	-161,33%	-156,18%	1,02	-97,93%	-141,91%	673.801,00	97.083.000,00	0,00	-19,41%
ETER3	2,79	-1,11	-37,33	0,172	0,00%	0,155	4,17	-1,47	-0,27	-4,54	-11,73%	-15,45%	1,10	-12,28%	3.355,33%	398.940,00	-2.375.000,00	-45,81	-16,30%
CTKA3	13,00	-1,00	-0,24	0,249	0,00%	0,222	-0,18	3,52	-0,17	19,16	7,08%	-24,91%	0,32	7,11%	24,02%	8.916,26	-335.439.000,00	-1,70	4,28%
CTKA4	12,25	-0,94	-0,23	0,235	0,00%	0,209	-0,17	3,32	-0,16	19,02	7,08%	-24,91%	0,32	7,11%	24,02%	69.910,20	-335.439.000,00	-1,70	4,28%
CCXC3	2,05	-0,84	-0,07	0,000	0,00%	0,327	0,00	-1,15	0,00	-1,01	0,00%	0,00%	0,00	0,00%	7,85%	22.098,90	-52.699.000,00	0,00	0,00%
IGBR3	2,39	-0,70	-0,03	7,042	0,00%	0,112	-0,36	-2,54	-0,03	-95,78	-277,07%	-1.009,59%	0,04	-4,74%	4,97%	145.679,00	-861.333.000,00	-1,07	-18,95%
MNPR3	5,40	-0,69	-0,11	0,177	0,00%	0,191	-0,10	0,90	-0,08	0,74	19,53%	-25,64%	0,13	22,21%	15,71%	135.657,00	-354.128.000,00	-0,00	1,19%
ESTR4	31,75	-0,66	-0,06	0,190	0,00%	0,109	-0,06	-15,99	-0,04	37,62	-1,19%	-28,93%	0,20	-0,76%	8,46%	5.944,05	-462.674.000,00	-0,12	-6,63%
GSHP3	0,85	-0,63	-1,27	0,363	361,14%	0,035	0,30	0,94	-0,05	15,61	38,53%	-57,23%	1,83	4,74%	200,35%	152.217,00	-46.424.000,00	-28,30	-10,00%
HOOT4	2,02	-0,59	-0,15	0,668	0,00%	0,078	-0,08	-1,26	-0,05	-2,07	-53,11%	-113,21%	0,04	-6,44%	25,14%	16.652,70	-250.296.000,00	-0,01	-18,18%
TPIS3	1,32	-0,45	0,34	0,237	0,00%	0,063	-0,14	-6,39	-0,08	6,40	-3,71%	-54,81%	0,12	-1,03%	-75,48%	397.421,00	684.212.000,00	2,89	-19,34%
BDLL3	24,01	-0,43	0,47	0,518	0,00%	0,047	-0,34	-0,80	-0,08	-6,62	-65,01%	-119,48%	0,69	-6,60%	-107,58%	383,31	82.368.000,00	2,65	-39,47%
MEND5	16,90	-0,41	-0,02	94,174	0,00%	0,182	-0,13	-1.416,44	-0,01	26.506,10	-6,65%	-22.921,30%	0,00	-0,01%	3,90%	9.017,48	-10.872.100.000,00	-0,85	-20,91%
JFEN3	1,50	-0,39	0,47	1,598	0,00%	0,090	0,33	-1,07	-1,96	-5,21	-149,16%	-433,10%	1,52	-8,78%	-120,90%	64.158,20	336.159.000,00	1,84	-41,76%
PLAS3	6,69	-0,34	-0,43	0,216	0,00%	0,168	-0,37	-0,99	-0,14	-5,87	-21,80%	-63,18%	0,32	-18,57%	126,25%	46.675,20	-192.059.000,00	-0,95	-5,87%
MEND6	14,00	-0,34	-0,01	78,014	0,00%	0,151	-0,11	-1.173,38	-0,01	26.422,30	-6,65%	-22.921,30%	0,00	-0,01%	3,90%	34.643,60	-10.872.100.000,00	-0,85	-20,91%
MWET3	7,00	-0,30	-0,07	0,080	0,00%	0,081	-0,13	-0,86	-0,04	-7,44	-9,29%	-26,49%	0,28	-11,27%	23,98%	150,00	-198.459.000,00	-0,39	3,32%
VIVR3	1,42	-0,26	-0,71	-1,669	0,00%	0,119	-0,27	-0,72	-0,14	-3,55	232,13%	644,12%	0,44	-17,07%	273,28%	419.971,00	-92.585.000,00	-2,71	-43,60%
SLED3	2,75	-0,23	3,95	0,103	0,00%	0,078	1,27	-0,37	-0,12	-4,17	-27,75%	-45,25%	1,24	-23,52%	-1.737,18%	146.565,00	18.580.000,00	24,97	-19,25%
MWET4	5,00	-0,22	-0,05	0,057	0,00%	0,058	-0,09	-0,62	-0,03	-7,10	-9,29%	-26,49%	0,28	-11,27%	23,98%	38.460,60	-198.459.000,00	-0,39	3,32%
AZEV3	5,24	-0,21	-0,13	0,577	0,00%	0,479	-0,18	-0,50	-0,11	-1,08	-115,07%	-272,13%	0,13	-192,46%	63,02%	46.807,10	-211.781.000,00	-0,14	-41,36%
FHER3	2,30	-0,21	-0,14	0,098	0,00%	0,073	-0,07	-0,90	-0,07	-11,14	-10,80%	-46,07%	0,34	-26,90%	67,33%	2.104.210,00	-868.315.000,00	-1,21	-28,99%
INEP4	7,79	-0,17	-0,04	1,156	0,00%	0,043	-0,04	-0,27	-0,02	-3,30	-420,43%	-547,40%	0,13	-16,79%	21,19%	92.421,40	-1.682.970.000,00	-0,38	-47,49%
INEP3	7,20	-0,16	-0,03	1,069	0,00%	0,039	-0,03	-0,25	-0,02	-3,28	-420,43%	-547,40%	0,13	-16,79%	21,19%	76.560,30	-1.682.970.000,00	-0,38	-47,49%
RNEW3	3,97	-0,14	-0,19	0,740	0,00%	0,072	-0,07	-0,88	-0,05	-9,56	-84,05%	-511,43%	0,01	-9,45%	134,40%	41.137,70	-851.318.000,00	-1,76	-5,16%
RNEW11	10,76	-0,13	-0,18	0,669	0,00%	0,065	-0,06	-0,80	-0,05	-9,47	-84,05%	-511,43%	0,01	-9,45%	134,40%	195.763,00	-851.318.000,00	-1,76	-5,16%
RNEW4	3,46	-0,13	-0,17	0,645	0,00%	0,062	-0,06	-0,77	-0,05	-9,44	-84,05%	-511,43%	0,01	-9,45%	134,40%	68.428,50	-851.318.000,00	-1,76	-5,16%
RSID3	3,85	-0,12	-0,12	1,309	0,00%	0,030	-0,82	-0,50	-0,04	-13,09	-259,80%	-1.112,29%	0,92	-6,62%	95,77%	273.737,00	-571.672.000,00	-2,81	-52,45%
SNSY5	107,30	-0,12	-0,02	0,047	0,00%	0,054	-0,12	-0,21	-0,01	-1,38	-21,67%	-42,17%	0,53	-29,33%	15,11%	7.825,21	-1.188.190.000,00	-0,08	2,22%
SLED4	1,34	-0,11	1,93	0,050	0,00%	0,038	0,62	-0,18	-0,06	-3,87	-27,75%	-45,25%	1,24	-23,52%	-1.737,18%	325.782,00	18.580.000,00	24,97	-19,25%
BDLL4	6,08	-0,11	0,12	0,131	0,00%	0,012	-0,09	-0,20	-0,02	-5,87	-65,01%	-119,48%	0,69	-6,60%	-107,58%	44.649,90	82.368.000,00	2,65	-39,47%
LIQO3	9,92	-0,10	-2,23	0,028	0,00%	0,019	-0,13	-0,12	-0,02	-3,42	-22,20%	-28,80%	0,56	-17,25%	2.325,01%	169.728,00	-12.449.000,00	-39,54	-24,70%
AZEV4	2,05	-0,08	-0,05	0,226	0,00%	0,188	-0,07	-0,20	-0,04	-0,75	-115,07%	-272,13%	0,13	-192,46%	63,02%	67.413,10	-211.781.000,00	-0,14	-41,36%
MMXM3	1,56	-0,06	-0,01	4,817	0,00%	0,076	-0,01	-0,13	-0,01	-2,55	-3.720,51%	-7.552,40%	0,04	-91,78%	21,85%	51.895,20	-719.319.000,00	-0,27	106,28%
PDGR3	5,11	-0,06	-0,01	0,321	0,00%	0,019	-0,02	-5,70	-0,01	262,26	-5,63%	-575,12%	0,44	-0,39%	16,23%	204.193,00	-4.576.270.000,00	-0,37	-43,46%
TEKA3	9,51	-0,05	-0,00	0,032	0,00%	0,005	-0,00	-0,34	-0,00	-52,21	-9,58%	-67,45%	0,02	-2,31%	6,49%	11.600,10	-1.543.650.000,00	-0,30	0,31%
TEKA4	6,59	-0,03	-0,00	0,022	0,00%	0,003	-0,00	-0,23	-0,00	-52,04	-9,58%	-67,45%	0,02	-2,31%	6,49%	166.577,00	-1.543.650.000,00	-0,30	0,31%
OSXB3	3,60	-0,03	-0,00	1,032	0,00%	0,004	-0,03	-0,24	-0,00	-271,54	-438,05%	-3.565,83%	0,03	-1,64%	8,83%	53.281,30	-4.308.840.000,00	-0,98	-68,26%
BMGB11	41,99	0,00	1,92	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	0,00%	18.857.400,00	2.732.880.000,00	0,00	0,00%
CNTO3	27,12	0,00	5,75	0,000	0,00%	1,715	24,80	0,00	-4,81	0,00	0,00%	0,00%	1,25	0,00%	0,00%	24.017.300,00	991.151.000,00	0,04	0,00%
VIVA3	23,83	0,00	9,31	0,000	0,00%	4,448	14,23	0,00	82,46	0,00	0,00%	0,00%	2,19	0,00%	0,00%	36.065.200,00	604.529.000,00	0,46	0,00%
